ticket_id,site_id,timestamp,net_volume_bbl,ticket_amount_usd,manifest_ref
TKT-SITE-01-2025-01-01-00000,SITE-01,2025-01-01T18:34:00+00:00,107.091,3770.06,MNF-SITE-01-2025-01-01
TKT-SITE-01-2025-01-01-00001,SITE-01,2025-01-01T04:50:00+00:00,102.575,3461.22,MNF-SITE-01-2025-01-01
TKT-SITE-01-2025-01-01-00002,SITE-01,2025-01-01T02:15:00+00:00,104.744,3406.26,MNF-SITE-01-2025-01-01
TKT-SITE-01-2025-01-01-00003,SITE-01,2025-01-01T20:09:00+00:00,107.375,3708.2,MNF-SITE-01-2025-01-01
TKT-SITE-02-2025-01-01-00004,SITE-02,2025-01-01T09:39:00+00:00,121.953,3179.02,MNF-SITE-02-2025-01-01
TKT-SITE-02-2025-01-01-00005,SITE-02,2025-01-01T19:44:00+00:00,121.736,3141.17,MNF-SITE-02-2025-01-01
TKT-SITE-02-2025-01-01-00006,SITE-02,2025-01-01T20:35:00+00:00,120.815,3435.3,MNF-SITE-02-2025-01-01
TKT-SITE-02-2025-01-01-00007,SITE-02,2025-01-01T19:51:00+00:00,119.426,3970.11,MNF-SITE-02-2025-01-01
TKT-SITE-02-2025-01-01-00008,SITE-02,2025-01-01T10:41:00+00:00,119.982,3371.74,MNF-SITE-02-2025-01-01
TKT-SITE-02-2025-01-01-00009,SITE-02,2025-01-01T21:26:00+00:00,122.096,3644.42,MNF-SITE-02-2025-01-01
TKT-SITE-02-2025-01-01-00010,SITE-02,2025-01-01T13:07:00+00:00,121.872,4319.37,MNF-SITE-02-2025-01-01
TKT-SITE-03-2025-01-01-00011,SITE-03,2025-01-01T09:51:00+00:00,112.52,3699.93,MNF-SITE-03-2025-01-01
TKT-SITE-03-2025-01-01-00012,SITE-03,2025-01-01T07:49:00+00:00,116.794,3422.56,MNF-SITE-03-2025-01-01
TKT-SITE-03-2025-01-01-00013,SITE-03,2025-01-01T16:28:00+00:00,112.496,3713.09,MNF-SITE-03-2025-01-01
TKT-SITE-03-2025-01-01-00014,SITE-03,2025-01-01T11:25:00+00:00,115.945,3672.26,MNF-SITE-03-2025-01-01
TKT-SITE-03-2025-01-01-00015,SITE-03,2025-01-01T18:25:00+00:00,114.821,3510.2,MNF-SITE-03-2025-01-01
TKT-SITE-04-2025-01-01-00016,SITE-04,2025-01-01T05:44:00+00:00,123.554,3776.36,MNF-SITE-04-2025-01-01
TKT-SITE-04-2025-01-01-00017,SITE-04,2025-01-01T16:22:00+00:00,123.21,3628.24,MNF-SITE-04-2025-01-01
TKT-SITE-04-2025-01-01-00018,SITE-04,2025-01-01T18:43:00+00:00,119.856,3396.89,MNF-SITE-04-2025-01-01
TKT-SITE-04-2025-01-01-00019,SITE-04,2025-01-01T15:57:00+00:00,122.027,3275.6,MNF-SITE-04-2025-01-01
TKT-SITE-04-2025-01-01-00020,SITE-04,2025-01-01T00:53:00+00:00,126.351,3189.35,MNF-SITE-04-2025-01-01
TKT-SITE-04-2025-01-01-00021,SITE-04,2025-01-01T03:21:00+00:00,125.192,2878.88,MNF-SITE-04-2025-01-01
TKT-SITE-04-2025-01-01-00022,SITE-04,2025-01-01T01:54:00+00:00,123.42,3741.13,MNF-SITE-04-2025-01-01
TKT-SITE-04-2025-01-01-00023,SITE-04,2025-01-01T18:21:00+00:00,124.626,3819.84,MNF-SITE-04-2025-01-01
